symbol,trading_date,leg,reference,er,box_open,box_close,candidate_a,candidate_a_known_at,candidate_a_available_by_box_completion,candidate_b,candidate_b_available_by_box_completion,candidate_c,candidate_c_available_by_box_completion,a_vs_b,a_vs_c,b_vs_c
EURUSD,2022-10-05,POST_LONDON,LONDON,0.5734597156398049,0.99779,0.99053,SHORT,2022-10-05T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
EURUSD,2022-10-13,POST_LONDON,LONDON,0.4337539432176722,0.96899,0.97449,LONG,2022-10-13T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
EURUSD,2022-10-14,POST_LONDON,LONDON,0.43197492163008844,0.97879,0.9719,SHORT,2022-10-14T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
GBPUSD,2022-10-05,POST_LONDON,LONDON,0.481276005547858,1.14705,1.13317,SHORT,2022-10-05T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
GBPUSD,2022-10-13,POST_LONDON,LONDON,0.6962831858407001,1.10651,1.12618,LONG,2022-10-13T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
USDJPY,2022-10-12,POST_LONDON,LONDON,0.42243902439022274,146.172,146.605,LONG,2022-10-12T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
USDJPY,2022-10-14,POST_LONDON,LONDON,0.4871794871794783,147.4,147.799,LONG,2022-10-14T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
USDJPY,2022-10-21,POST_LONDON,LONDON,0.7380792478173038,150.422,151.521,LONG,2022-10-21T12:00:00+00:00,True,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_EVALUABLE_SPEC_INCOMPLETE,UNDEFINED,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE
