timestamp,open,high,low,close,volume
2026-05-01 00:00:00,156.989,157.17,156.968,157.117,1689
2026-05-01 00:15:00,157.117,157.306,157.101,157.281,1344
2026-05-01 00:30:00,157.281,157.285,157.145,157.238,1357
2026-05-01 00:45:00,157.238,157.283,156.993,157.081,1716
2026-05-01 01:00:00,157.082,157.256,157.049,157.189,1387
2026-05-01 01:15:00,157.189,157.242,157.106,157.191,1164
2026-05-01 01:30:00,157.192,157.208,157.066,157.203,1251
2026-05-01 01:45:00,157.201,157.233,157.119,157.201,1131
2026-05-01 02:00:00,157.196,157.207,157.143,157.166,912
2026-05-01 02:15:00,157.166,157.213,157.129,157.182,773
2026-05-01 02:30:00,157.181,157.278,157.154,157.277,892
2026-05-01 02:45:00,157.277,157.327,157.236,157.237,1015
2026-05-01 03:00:00,157.236,157.292,157.197,157.277,771
2026-05-01 03:15:00,157.277,157.282,157.138,157.168,758
2026-05-01 03:30:00,157.167,157.201,156.993,157.174,1053
2026-05-01 03:45:00,157.172,157.237,157.161,157.187,797
2026-05-01 04:00:00,157.187,157.195,157.11,157.148,851
2026-05-01 04:15:00,157.149,157.217,157.149,157.214,785
2026-05-01 04:30:00,157.212,157.24,157.184,157.226,642
2026-05-01 04:45:00,157.226,157.28,157.201,157.246,690
2026-05-01 05:00:00,157.247,157.288,157.201,157.284,799
2026-05-01 05:15:00,157.286,157.298,157.243,157.289,625
2026-05-01 05:30:00,157.289,157.291,157.204,157.21,778
2026-05-01 05:45:00,157.21,157.293,157.207,157.28,736
2026-05-01 06:00:00,157.28,157.295,157.197,157.28,1174
2026-05-01 06:15:00,157.28,157.291,157.208,157.253,1111
2026-05-01 06:30:00,157.253,157.271,157.052,157.054,1157
2026-05-01 06:45:00,157.053,157.055,155.487,155.964,2984
2026-05-01 07:00:00,155.963,156.639,155.865,156.352,2754
2026-05-01 07:15:00,156.349,156.465,156.261,156.32,1793
2026-05-01 07:30:00,156.318,156.625,156.278,156.467,1552
2026-05-01 07:45:00,156.467,156.723,156.364,156.624,1386
2026-05-01 08:00:00,156.624,156.655,156.44,156.566,1466
2026-05-01 08:15:00,156.567,156.57,156.263,156.342,1407
2026-05-01 08:30:00,156.342,156.506,156.33,156.442,1333
2026-05-01 08:45:00,156.443,156.545,156.438,156.473,1138
2026-05-01 09:00:00,156.471,156.567,156.419,156.566,1227
2026-05-01 09:15:00,156.566,156.718,156.547,156.711,1095
2026-05-01 09:30:00,156.711,156.76,156.546,156.561,972
2026-05-01 09:45:00,156.561,156.637,156.534,156.578,987
2026-05-01 10:00:00,156.576,156.627,156.489,156.504,837
2026-05-01 10:15:00,156.505,156.554,156.49,156.538,730
2026-05-01 10:30:00,156.538,156.579,156.5,156.548,733
2026-05-01 10:45:00,156.548,156.604,156.519,156.592,793
2026-05-01 11:00:00,156.591,156.624,156.529,156.573,974
2026-05-01 11:15:00,156.574,156.597,156.439,156.514,944
2026-05-01 11:30:00,156.515,156.611,156.498,156.603,1018
2026-05-01 11:45:00,156.605,156.619,156.551,156.581,970
2026-05-01 12:00:00,156.583,156.641,156.478,156.529,1697
2026-05-01 12:15:00,156.534,156.555,156.388,156.45,2116
2026-05-01 12:30:00,156.452,156.567,156.448,156.564,1501
2026-05-01 12:45:00,156.564,156.611,156.535,156.593,1257
2026-05-01 13:00:00,156.6,156.62,156.553,156.604,1479
2026-05-01 13:15:00,156.604,156.659,156.591,156.609,1402
2026-05-01 13:30:00,156.609,156.657,156.523,156.597,1847
2026-05-01 13:45:00,156.604,156.756,156.341,156.495,2334
2026-05-01 14:00:00,156.489,156.503,156.367,156.44,2529
2026-05-01 14:15:00,156.428,156.501,156.381,156.5,2175
2026-05-01 14:30:00,156.498,156.62,156.415,156.588,1985
2026-05-01 14:45:00,156.589,156.725,156.589,156.637,2166
2026-05-01 15:00:00,156.637,156.709,156.635,156.647,1940
2026-05-01 15:15:00,156.646,156.758,156.623,156.732,1685
2026-05-01 15:30:00,156.73,156.762,156.621,156.711,1680
2026-05-01 15:45:00,156.711,156.895,156.689,156.761,1738
2026-05-01 16:00:00,156.762,156.79,156.667,156.772,1517
2026-05-01 16:15:00,156.771,156.883,156.722,156.871,1631
2026-05-01 16:30:00,156.872,156.912,156.82,156.83,1577
2026-05-01 16:45:00,156.831,156.943,156.827,156.94,1354
2026-05-01 17:00:00,156.941,156.959,156.9,156.929,1207
2026-05-01 17:15:00,156.93,156.954,156.864,156.942,1330
2026-05-01 17:30:00,156.941,157.026,156.934,157.013,1234
2026-05-01 17:45:00,157.013,157.016,156.853,156.932,1248
2026-05-01 18:00:00,156.931,157.089,156.916,157.072,1268
2026-05-01 18:15:00,157.072,157.118,157.024,157.038,1193
2026-05-01 18:30:00,157.044,157.09,156.91,157.03,1507
2026-05-01 18:45:00,157.03,157.056,156.985,157.012,1316
2026-05-01 19:00:00,157.014,157.063,157.0,157.039,1127
2026-05-01 19:15:00,157.039,157.044,157.009,157.041,990
2026-05-01 19:30:00,157.042,157.068,157.034,157.065,969
2026-05-01 19:45:00,157.064,157.092,157.04,157.06,1018
2026-05-01 20:00:00,157.061,157.081,157.027,157.059,752
2026-05-01 20:15:00,157.059,157.076,157.009,157.03,824
2026-05-01 20:30:00,157.031,157.052,156.962,157.016,643
2026-05-01 20:45:00,157.015,157.078,157.0,157.06,439
2026-05-03 21:00:00,156.693,156.74,156.692,156.74,39
2026-05-03 21:15:00,156.74,156.759,156.632,156.638,116
2026-05-03 21:30:00,156.642,156.656,156.64,156.643,77
2026-05-03 21:45:00,156.643,156.688,156.633,156.652,73
2026-05-03 22:00:00,156.675,156.813,156.675,156.807,531
2026-05-03 22:15:00,156.807,156.923,156.798,156.868,383
