timestamp,open,high,low,close,volume
2026-05-01 00:00:00,4626.4,4631.08,4620.75,4622.3,6352
2026-05-01 00:15:00,4622.3,4628.39,4620.91,4623.76,5335
2026-05-01 00:30:00,4623.81,4624.94,4618.43,4620.72,4960
2026-05-01 00:45:00,4620.72,4625.03,4619.51,4619.66,4876
2026-05-01 01:00:00,4619.66,4620.89,4615.48,4618.41,4849
2026-05-01 01:15:00,4618.35,4618.97,4613.88,4616.19,3840
2026-05-01 01:30:00,4616.19,4621.86,4616.07,4620.15,4430
2026-05-01 01:45:00,4620.15,4622.2,4618.74,4620.91,3958
2026-05-01 02:00:00,4620.91,4634.43,4619.72,4630.86,4308
2026-05-01 02:15:00,4630.87,4635.96,4628.47,4629.37,4053
2026-05-01 02:30:00,4629.37,4631.06,4623.9,4624.26,3604
2026-05-01 02:45:00,4624.27,4624.46,4616.51,4619.04,4264
2026-05-01 03:00:00,4619.06,4621.38,4617.78,4620.63,3381
2026-05-01 03:15:00,4620.63,4626.66,4620.6,4626.21,2767
2026-05-01 03:30:00,4626.23,4632.01,4625.38,4626.14,4480
2026-05-01 03:45:00,4626.14,4627.99,4625.58,4626.64,3184
2026-05-01 04:00:00,4626.64,4628.67,4619.96,4621.7,4140
2026-05-01 04:15:00,4621.7,4623.32,4617.18,4617.56,3288
2026-05-01 04:30:00,4617.55,4618.12,4612.14,4613.43,4231
2026-05-01 04:45:00,4613.43,4614.51,4609.16,4609.17,3193
2026-05-01 05:00:00,4609.17,4614.74,4607.54,4614.3,4083
2026-05-01 05:15:00,4614.3,4616.11,4611.64,4614.65,2938
2026-05-01 05:30:00,4614.65,4615.35,4609.49,4609.83,3833
2026-05-01 05:45:00,4609.83,4613.53,4602.92,4604.86,4126
2026-05-01 06:00:00,4604.86,4607.8,4601.06,4601.46,5129
2026-05-01 06:15:00,4601.46,4601.99,4593.37,4593.43,4680
2026-05-01 06:30:00,4593.45,4597.54,4590.81,4593.39,4505
2026-05-01 06:45:00,4593.41,4595.98,4591.23,4594.73,6208
2026-05-01 07:00:00,4594.68,4596.4,4590.07,4595.93,5983
2026-05-01 07:15:00,4595.95,4598.04,4585.22,4592.33,5601
2026-05-01 07:30:00,4592.33,4592.55,4583.65,4585.38,5162
2026-05-01 07:45:00,4585.38,4585.98,4575.86,4578.15,5061
2026-05-01 08:00:00,4578.16,4582.51,4573.43,4573.92,5724
2026-05-01 08:15:00,4573.93,4576.92,4566.41,4567.28,5718
2026-05-01 08:30:00,4567.28,4572.11,4566.07,4571.02,4800
2026-05-01 08:45:00,4571.02,4572.62,4565.12,4568.93,4393
2026-05-01 09:00:00,4568.98,4569.18,4564.26,4565.74,4537
2026-05-01 09:15:00,4565.74,4571.33,4564.62,4569.17,4629
2026-05-01 09:30:00,4569.18,4572.95,4567.54,4570.33,4011
2026-05-01 09:45:00,4570.31,4570.73,4560.14,4562.69,4899
2026-05-01 10:00:00,4562.71,4567.97,4561.38,4566.66,3690
2026-05-01 10:15:00,4566.65,4572.68,4566.58,4572.09,3545
2026-05-01 10:30:00,4572.08,4575.98,4567.39,4570.35,4018
2026-05-01 10:45:00,4570.34,4572.06,4566.07,4566.79,3871
2026-05-01 11:00:00,4566.79,4568.89,4562.45,4565.86,4893
2026-05-01 11:15:00,4565.83,4576.39,4564.59,4571.87,5198
2026-05-01 11:30:00,4571.88,4577.72,4570.32,4575.65,5098
2026-05-01 11:45:00,4575.64,4579.49,4572.74,4578.68,4469
2026-05-01 12:00:00,4578.67,4590.52,4574.93,4584.73,5902
2026-05-01 12:15:00,4584.71,4607.76,4582.74,4602.85,8396
2026-05-01 12:30:00,4602.82,4603.21,4588.97,4591.96,7224
2026-05-01 12:45:00,4591.97,4595.42,4589.65,4591.15,6032
2026-05-01 13:00:00,4591.16,4597.22,4589.7,4591.28,5973
2026-05-01 13:15:00,4591.27,4593.16,4586.66,4589.19,6101
2026-05-01 13:30:00,4589.2,4608.93,4586.5,4607.85,9620
2026-05-01 13:45:00,4607.86,4628.81,4598.83,4625.67,9757
2026-05-01 14:00:00,4625.67,4659.97,4625.67,4656.18,10649
2026-05-01 14:15:00,4656.01,4660.14,4643.9,4644.58,10004
2026-05-01 14:30:00,4644.6,4646.2,4630.47,4633.23,9901
2026-05-01 14:45:00,4633.25,4635.35,4627.26,4632.09,9010
