time,open,high,low,close,spread
2026-05-01 00:00:00,1.17287,1.17299,1.17243,1.17257,0
2026-05-01 00:15:00,1.17256,1.17276,1.17243,1.17272,0
2026-05-01 00:30:00,1.17274,1.17293,1.17264,1.17292,0
2026-05-01 00:45:00,1.17291,1.17297,1.17271,1.17278,0
2026-05-01 01:00:00,1.17279,1.17281,1.17251,1.17279,0
2026-05-01 01:15:00,1.17280,1.17304,1.17256,1.17291,0
2026-05-01 01:30:00,1.17291,1.17330,1.17291,1.17308,0
2026-05-01 01:45:00,1.17309,1.17320,1.17304,1.17311,0
2026-05-01 02:00:00,1.17311,1.17341,1.17305,1.17328,0
2026-05-01 02:15:00,1.17328,1.17341,1.17319,1.17329,0
2026-05-01 02:30:00,1.17330,1.17340,1.17314,1.17321,0
2026-05-01 02:45:00,1.17321,1.17341,1.17296,1.17338,0
2026-05-01 03:00:00,1.17338,1.17347,1.17325,1.17347,0
2026-05-01 03:15:00,1.17347,1.17364,1.17338,1.17358,0
2026-05-01 03:30:00,1.17359,1.17364,1.17323,1.17326,0
2026-05-01 03:45:00,1.17326,1.17335,1.17306,1.17311,0
2026-05-01 04:00:00,1.17313,1.17324,1.17278,1.17291,0
2026-05-01 04:15:00,1.17290,1.17295,1.17264,1.17266,0
2026-05-01 04:30:00,1.17265,1.17277,1.17260,1.17270,0
2026-05-01 04:45:00,1.17272,1.17277,1.17261,1.17268,0
2026-05-01 05:00:00,1.17268,1.17272,1.17251,1.17255,0
2026-05-01 05:15:00,1.17254,1.17256,1.17240,1.17247,0
2026-05-01 05:30:00,1.17246,1.17264,1.17240,1.17256,0
2026-05-01 05:45:00,1.17254,1.17254,1.17218,1.17225,0
2026-05-01 06:00:00,1.17225,1.17243,1.17214,1.17221,0
2026-05-01 06:15:00,1.17221,1.17227,1.17196,1.17208,0
2026-05-01 06:30:00,1.17208,1.17217,1.17189,1.17215,0
2026-05-01 06:45:00,1.17215,1.17451,1.17215,1.17356,0
2026-05-01 07:00:00,1.17356,1.17389,1.17317,1.17342,0
2026-05-01 07:15:00,1.17342,1.17400,1.17315,1.17396,0
2026-05-01 07:30:00,1.17396,1.17398,1.17327,1.17369,0
2026-05-01 07:45:00,1.17368,1.17421,1.17316,1.17345,0
2026-05-01 08:00:00,1.17345,1.17388,1.17320,1.17325,0
2026-05-01 08:15:00,1.17326,1.17482,1.17321,1.17444,0
2026-05-01 08:30:00,1.17444,1.17475,1.17420,1.17450,0
2026-05-01 08:45:00,1.17449,1.17460,1.17418,1.17436,0
2026-05-01 09:00:00,1.17436,1.17440,1.17368,1.17380,0
2026-05-01 09:15:00,1.17379,1.17390,1.17329,1.17340,0
2026-05-01 09:30:00,1.17339,1.17384,1.17336,1.17370,0
2026-05-01 09:45:00,1.17370,1.17373,1.17308,1.17313,0
2026-05-01 10:00:00,1.17314,1.17424,1.17310,1.17418,0
2026-05-01 10:15:00,1.17418,1.17444,1.17410,1.17421,0
2026-05-01 10:30:00,1.17421,1.17439,1.17393,1.17406,0
2026-05-01 10:45:00,1.17405,1.17459,1.17404,1.17447,0
2026-05-01 11:00:00,1.17451,1.17510,1.17441,1.17509,0
2026-05-01 11:15:00,1.17508,1.17584,1.17500,1.17555,0
2026-05-01 11:30:00,1.17555,1.17570,1.17477,1.17481,0
2026-05-01 11:45:00,1.17481,1.17517,1.17457,1.17514,0
2026-05-01 12:00:00,1.17514,1.17614,1.17483,1.17587,0
2026-05-01 12:15:00,1.17583,1.17690,1.17575,1.17657,0
2026-05-01 12:30:00,1.17656,1.17670,1.17592,1.17596,0
2026-05-01 12:45:00,1.17596,1.17619,1.17565,1.17576,0
2026-05-01 13:00:00,1.17576,1.17624,1.17568,1.17594,0
2026-05-01 13:15:00,1.17593,1.17611,1.17532,1.17551,0
2026-05-01 13:30:00,1.17550,1.17583,1.17527,1.17534,0
2026-05-01 13:45:00,1.17534,1.17636,1.17441,1.17621,0
2026-05-01 14:00:00,1.17622,1.17834,1.17606,1.17787,0
2026-05-01 14:15:00,1.17786,1.17853,1.17761,1.17790,0
2026-05-01 14:30:00,1.17792,1.17806,1.17676,1.17705,0
2026-05-01 14:45:00,1.17704,1.17735,1.17642,1.17674,0
2026-05-01 15:00:00,1.17674,1.17704,1.17645,1.17698,0
2026-05-01 15:15:00,1.17699,1.17708,1.17624,1.17641,0
2026-05-01 15:30:00,1.17642,1.17681,1.17613,1.17641,0
2026-05-01 15:45:00,1.17641,1.17685,1.17536,1.17550,0
2026-05-01 16:00:00,1.17550,1.17572,1.17507,1.17535,0
2026-05-01 16:15:00,1.17535,1.17564,1.17468,1.17482,0
2026-05-01 16:30:00,1.17481,1.17491,1.17424,1.17452,0
2026-05-01 16:45:00,1.17451,1.17454,1.17377,1.17382,0
2026-05-01 17:00:00,1.17381,1.17405,1.17354,1.17370,0
2026-05-01 17:15:00,1.17371,1.17393,1.17348,1.17368,0
2026-05-01 17:30:00,1.17368,1.17379,1.17292,1.17306,0
2026-05-01 17:45:00,1.17307,1.17373,1.17294,1.17331,0
2026-05-01 18:00:00,1.17332,1.17342,1.17237,1.17256,0
2026-05-01 18:15:00,1.17256,1.17279,1.17196,1.17240,0
2026-05-01 18:30:00,1.17241,1.17265,1.17196,1.17264,0
2026-05-01 18:45:00,1.17262,1.17294,1.17243,1.17273,0
2026-05-01 19:00:00,1.17273,1.17284,1.17237,1.17245,0
2026-05-01 19:15:00,1.17245,1.17253,1.17227,1.17229,0
2026-05-01 19:30:00,1.17228,1.17233,1.17200,1.17206,0
2026-05-01 19:45:00,1.17205,1.17210,1.17178,1.17195,0
2026-05-01 20:00:00,1.17196,1.17225,1.17193,1.17205,0
2026-05-01 20:15:00,1.17205,1.17208,1.17168,1.17169,0
2026-05-01 20:30:00,1.17169,1.17189,1.17154,1.17187,0
2026-05-01 20:45:00,1.17191,1.17207,1.17167,1.17194,5
2026-05-03 21:00:00,1.17451,1.17469,1.17442,1.17468,33
2026-05-03 21:15:00,1.17468,1.17489,1.17406,1.17461,22
2026-05-03 21:30:00,1.17461,1.17475,1.17458,1.17464,24
2026-05-03 21:45:00,1.17459,1.17459,1.17334,1.17372,22
2026-05-03 22:00:00,1.17378,1.17422,1.17337,1.17341,0
2026-05-03 22:15:00,1.17339,1.17341,1.17268,1.17322,0
2026-05-03 22:30:00,1.17322,1.17363,1.17319,1.17356,0
2026-05-03 22:45:00,1.17356,1.17361,1.17305,1.17333,0
2026-05-03 23:00:00,1.17333,1.17335,1.17307,1.17322,0
2026-05-03 23:15:00,1.17324,1.17324,1.17305,1.17307,0
2026-05-03 23:30:00,1.17307,1.17323,1.17266,1.17266,0
2026-05-03 23:45:00,1.17266,1.17300,1.17251,1.17260,0
2026-05-04 00:00:00,1.17260,1.17289,1.17241,1.17256,0
2026-05-04 00:15:00,1.17256,1.17268,1.17216,1.17235,0
2026-05-04 00:30:00,1.17235,1.17262,1.17234,1.17248,0
2026-05-04 00:45:00,1.17246,1.17276,1.17237,1.17271,0
2026-05-04 01:00:00,1.17270,1.17273,1.17202,1.17228,0
2026-05-04 01:15:00,1.17226,1.17290,1.17215,1.17225,0
2026-05-04 01:30:00,1.17226,1.17259,1.17213,1.17256,0
2026-05-04 01:45:00,1.17256,1.17264,1.17224,1.17252,0
2026-05-04 02:00:00,1.17251,1.17280,1.17236,1.17273,0
2026-05-04 02:15:00,1.17273,1.17273,1.17226,1.17227,0
2026-05-04 02:30:00,1.17226,1.17265,1.17225,1.17259,0
2026-05-04 02:45:00,1.17259,1.17288,1.17255,1.17276,0
2026-05-04 03:00:00,1.17276,1.17286,1.17252,1.17273,0
2026-05-04 03:15:00,1.17272,1.17275,1.17253,1.17262,0
2026-05-04 03:30:00,1.17262,1.17268,1.17246,1.17261,0
2026-05-04 03:45:00,1.17262,1.17389,1.17262,1.17376,0
2026-05-04 04:00:00,1.17375,1.17383,1.17332,1.17334,0
2026-05-04 04:15:00,1.17333,1.17337,1.17293,1.17297,0
2026-05-04 04:30:00,1.17298,1.17304,1.17277,1.17281,0
2026-05-04 04:45:00,1.17281,1.17293,1.17278,1.17293,0
2026-05-04 05:00:00,1.17291,1.17313,1.17278,1.17283,0
2026-05-04 05:15:00,1.17284,1.17322,1.17266,1.17267,0
2026-05-04 05:30:00,1.17272,1.17291,1.17259,1.17288,0
2026-05-04 05:45:00,1.17289,1.17320,1.17283,1.17307,0
2026-05-04 06:00:00,1.17308,1.17359,1.17302,1.17350,0
2026-05-04 06:15:00,1.17350,1.17373,1.17342,1.17355,0
2026-05-04 06:30:00,1.17356,1.17367,1.17276,1.17283,0
2026-05-04 06:45:00,1.17283,1.17317,1.17216,1.17287,0
2026-05-04 07:00:00,1.17290,1.17291,1.17237,1.17262,0
2026-05-04 07:15:00,1.17263,1.17285,1.17203,1.17208,0
2026-05-04 07:30:00,1.17208,1.17245,1.17185,1.17186,0
2026-05-04 07:45:00,1.17186,1.17217,1.17153,1.17179,0
2026-05-04 08:00:00,1.17180,1.17180,1.17113,1.17159,0
2026-05-04 08:15:00,1.17159,1.17189,1.17136,1.17183,0
2026-05-04 08:30:00,1.17183,1.17218,1.17177,1.17203,0
2026-05-04 08:45:00,1.17203,1.17232,1.17184,1.17192,0
2026-05-04 09:00:00,1.17195,1.17238,1.17179,1.17196,0
2026-05-04 09:15:00,1.17196,1.17207,1.17160,1.17187,0
2026-05-04 09:30:00,1.17186,1.17212,1.17181,1.17205,0
2026-05-04 09:45:00,1.17204,1.17205,1.17167,1.17173,0
2026-05-04 10:00:00,1.17174,1.17174,1.16935,1.16966,0
2026-05-04 10:15:00,1.16966,1.17039,1.16889,1.17028,0
2026-05-04 10:30:00,1.17028,1.17146,1.17023,1.17102,0
2026-05-04 10:45:00,1.17102,1.17129,1.17036,1.17051,0
2026-05-04 11:00:00,1.17051,1.17085,1.16966,1.16967,0
2026-05-04 11:15:00,1.16967,1.17021,1.16957,1.17008,0
2026-05-04 11:30:00,1.17007,1.17015,1.16955,1.16996,0
2026-05-04 11:45:00,1.16995,1.17004,1.16928,1.16932,0
2026-05-04 12:00:00,1.16932,1.17022,1.16921,1.17019,0
2026-05-04 12:15:00,1.17019,1.17099,1.17008,1.17088,0
2026-05-04 12:30:00,1.17087,1.17112,1.17055,1.17083,0
2026-05-04 12:45:00,1.17082,1.17124,1.17077,1.17093,0
2026-05-04 13:00:00,1.17092,1.17139,1.17021,1.17096,0
2026-05-04 13:15:00,1.17096,1.17104,1.17051,1.17073,0
2026-05-04 13:30:00,1.17073,1.17178,1.17063,1.17158,0
2026-05-04 13:45:00,1.17157,1.17175,1.17131,1.17150,0
2026-05-04 14:00:00,1.17149,1.17150,1.17068,1.17097,0
2026-05-04 14:15:00,1.17097,1.17158,1.17091,1.17139,0
2026-05-04 14:30:00,1.17139,1.17164,1.17084,1.17086,0
2026-05-04 14:45:00,1.17086,1.17103,1.17045,1.17072,0
2026-05-04 15:00:00,1.17073,1.17157,1.17047,1.17110,0
2026-05-04 15:15:00,1.17110,1.17154,1.16967,1.17021,0
2026-05-04 15:30:00,1.17021,1.17026,1.16964,1.17007,0
2026-05-04 15:45:00,1.17007,1.17030,1.16942,1.16976,0
2026-05-04 16:00:00,1.16974,1.17009,1.16851,1.16855,0
2026-05-04 16:15:00,1.16854,1.16967,1.16844,1.16907,0
2026-05-04 16:30:00,1.16906,1.16932,1.16838,1.16839,0
2026-05-04 16:45:00,1.16839,1.16855,1.16811,1.16822,0
2026-05-04 17:00:00,1.16824,1.16899,1.16817,1.16889,0
2026-05-04 17:15:00,1.16890,1.16960,1.16882,1.16953,0
2026-05-04 17:30:00,1.16953,1.16973,1.16914,1.16929,0
2026-05-04 17:45:00,1.16929,1.16948,1.16912,1.16935,0
2026-05-04 18:00:00,1.16935,1.16970,1.16916,1.16945,0
2026-05-04 18:15:00,1.16944,1.16945,1.16891,1.16915,0
2026-05-04 18:30:00,1.16915,1.16930,1.16905,1.16909,0
2026-05-04 18:45:00,1.16908,1.16979,1.16886,1.16973,0
2026-05-04 19:00:00,1.16973,1.17007,1.16936,1.16976,0
2026-05-04 19:15:00,1.16976,1.17023,1.16973,1.16998,0
2026-05-04 19:30:00,1.16997,1.17009,1.16978,1.16991,0
2026-05-04 19:45:00,1.16988,1.16990,1.16939,1.16950,0
2026-05-04 20:00:00,1.16950,1.16950,1.16913,1.16913,0
2026-05-04 20:15:00,1.16911,1.16912,1.16871,1.16896,0
2026-05-04 20:30:00,1.16896,1.16919,1.16890,1.16915,0
2026-05-04 20:45:00,1.16911,1.16923,1.16907,1.16910,5
2026-05-04 21:00:00,1.16888,1.16888,1.16867,1.16878,49
2026-05-04 21:15:00,1.16878,1.16907,1.16870,1.16905,45
2026-05-04 21:30:00,1.16905,1.16912,1.16898,1.16905,22
2026-05-04 21:45:00,1.16905,1.16905,1.16878,1.16892,22
2026-05-04 22:00:00,1.16894,1.16918,1.16892,1.16896,0
2026-05-04 22:15:00,1.16896,1.16911,1.16890,1.16910,0
2026-05-04 22:30:00,1.16910,1.16917,1.16907,1.16912,0
2026-05-04 22:45:00,1.16912,1.16912,1.16899,1.16902,0
2026-05-04 23:00:00,1.16902,1.16914,1.16898,1.16911,0
2026-05-04 23:15:00,1.16912,1.16924,1.16910,1.16918,0
2026-05-04 23:30:00,1.16918,1.16929,1.16913,1.16918,0
2026-05-04 23:45:00,1.16918,1.16923,1.16912,1.16917,0
2026-05-05 00:00:00,1.16918,1.16939,1.16908,1.16931,0
2026-05-05 00:15:00,1.16932,1.16932,1.16861,1.16873,0
2026-05-05 00:30:00,1.16873,1.16874,1.16851,1.16863,0
2026-05-05 00:45:00,1.16863,1.16890,1.16861,1.16864,0
2026-05-05 01:00:00,1.16864,1.16866,1.16842,1.16844,0
2026-05-05 01:15:00,1.16844,1.16854,1.16798,1.16819,0
2026-05-05 01:30:00,1.16818,1.16878,1.16812,1.16850,0
2026-05-05 01:45:00,1.16850,1.16883,1.16847,1.16868,0
2026-05-05 02:00:00,1.16869,1.16885,1.16866,1.16868,0
2026-05-05 02:15:00,1.16868,1.16907,1.16863,1.16898,0
2026-05-05 02:30:00,1.16898,1.16914,1.16892,1.16912,0
2026-05-05 02:45:00,1.16909,1.16916,1.16873,1.16876,0
2026-05-05 03:00:00,1.16874,1.16876,1.16852,1.16872,0
2026-05-05 03:15:00,1.16872,1.16882,1.16866,1.16871,0
2026-05-05 03:30:00,1.16872,1.16872,1.16846,1.16853,0
2026-05-05 03:45:00,1.16853,1.16858,1.16836,1.16840,0
2026-05-05 04:00:00,1.16840,1.16859,1.16837,1.16856,0
2026-05-05 04:15:00,1.16856,1.16867,1.16856,1.16862,0
2026-05-05 04:30:00,1.16862,1.16874,1.16842,1.16845,0
2026-05-05 04:45:00,1.16843,1.16844,1.16770,1.16778,0
2026-05-05 05:00:00,1.16777,1.16802,1.16766,1.16792,0
2026-05-05 05:15:00,1.16792,1.16818,1.16775,1.16798,0
