timestamp,open,high,low,close,volume
2026-05-01 00:00:00,1.17287,1.17299,1.17243,1.17257,771
2026-05-01 00:15:00,1.17256,1.17276,1.17243,1.17272,574
2026-05-01 00:30:00,1.17274,1.17293,1.17264,1.17292,569
2026-05-01 00:45:00,1.17291,1.17297,1.17271,1.17278,662
2026-05-01 01:00:00,1.17279,1.17281,1.17251,1.17279,520
2026-05-01 01:15:00,1.17280,1.17304,1.17256,1.17291,438
2026-05-01 01:30:00,1.17291,1.17330,1.17291,1.17308,567
2026-05-01 01:45:00,1.17309,1.17320,1.17304,1.17311,507
2026-05-01 02:00:00,1.17311,1.17341,1.17305,1.17328,472
2026-05-01 02:15:00,1.17328,1.17341,1.17319,1.17329,448
2026-05-01 02:30:00,1.17330,1.17340,1.17314,1.17321,436
2026-05-01 02:45:00,1.17321,1.17341,1.17296,1.17338,448
2026-05-01 03:00:00,1.17338,1.17347,1.17325,1.17347,459
2026-05-01 03:15:00,1.17347,1.17364,1.17338,1.17358,368
2026-05-01 03:30:00,1.17359,1.17364,1.17323,1.17326,509
2026-05-01 03:45:00,1.17326,1.17335,1.17306,1.17311,431
2026-05-01 04:00:00,1.17313,1.17324,1.17278,1.17291,474
2026-05-01 04:15:00,1.17290,1.17295,1.17264,1.17266,388
2026-05-01 04:30:00,1.17265,1.17277,1.17260,1.17270,356
2026-05-01 04:45:00,1.17272,1.17277,1.17261,1.17268,404
2026-05-01 05:00:00,1.17268,1.17272,1.17251,1.17255,469
2026-05-01 05:15:00,1.17254,1.17256,1.17240,1.17247,373
2026-05-01 05:30:00,1.17246,1.17264,1.17240,1.17256,441
2026-05-01 05:45:00,1.17254,1.17254,1.17218,1.17225,421
2026-05-01 06:00:00,1.17225,1.17243,1.17214,1.17221,629
2026-05-01 06:15:00,1.17221,1.17227,1.17196,1.17208,550
2026-05-01 06:30:00,1.17208,1.17217,1.17189,1.17215,660
2026-05-01 06:45:00,1.17215,1.17451,1.17215,1.17356,2009
2026-05-01 07:00:00,1.17356,1.17389,1.17317,1.17342,1563
2026-05-01 07:15:00,1.17342,1.17400,1.17315,1.17396,1113
2026-05-01 07:30:00,1.17396,1.17398,1.17327,1.17369,1007
2026-05-01 07:45:00,1.17368,1.17421,1.17316,1.17345,1011
2026-05-01 08:00:00,1.17345,1.17388,1.17320,1.17325,1032
2026-05-01 08:15:00,1.17326,1.17482,1.17321,1.17444,847
2026-05-01 08:30:00,1.17444,1.17475,1.17420,1.17450,816
2026-05-01 08:45:00,1.17449,1.17460,1.17418,1.17436,820
2026-05-01 09:00:00,1.17436,1.17440,1.17368,1.17380,851
2026-05-01 09:15:00,1.17379,1.17390,1.17329,1.17340,730
2026-05-01 09:30:00,1.17339,1.17384,1.17336,1.17370,681
2026-05-01 09:45:00,1.17370,1.17373,1.17308,1.17313,755
2026-05-01 10:00:00,1.17314,1.17424,1.17310,1.17418,817
2026-05-01 10:15:00,1.17418,1.17444,1.17410,1.17421,637
2026-05-01 10:30:00,1.17421,1.17439,1.17393,1.17406,650
2026-05-01 10:45:00,1.17405,1.17459,1.17404,1.17447,677
2026-05-01 11:00:00,1.17451,1.17510,1.17441,1.17509,865
2026-05-01 11:15:00,1.17508,1.17584,1.17500,1.17555,970
2026-05-01 11:30:00,1.17555,1.17570,1.17477,1.17481,849
2026-05-01 11:45:00,1.17481,1.17517,1.17457,1.17514,802
2026-05-01 12:00:00,1.17514,1.17614,1.17483,1.17587,1240
2026-05-01 12:15:00,1.17583,1.17690,1.17575,1.17657,1504
2026-05-01 12:30:00,1.17656,1.17670,1.17592,1.17596,1151
2026-05-01 12:45:00,1.17596,1.17619,1.17565,1.17576,882
2026-05-01 13:00:00,1.17576,1.17624,1.17568,1.17594,1024
2026-05-01 13:15:00,1.17593,1.17611,1.17532,1.17551,985
2026-05-01 13:30:00,1.17550,1.17583,1.17527,1.17534,1314
2026-05-01 13:45:00,1.17534,1.17636,1.17441,1.17621,1742
2026-05-01 14:00:00,1.17622,1.17834,1.17606,1.17787,1896
2026-05-01 14:15:00,1.17786,1.17853,1.17761,1.17790,1770
2026-05-01 14:30:00,1.17792,1.17806,1.17676,1.17705,1625
2026-05-01 14:45:00,1.17704,1.17735,1.17642,1.17674,1574
2026-05-01 15:00:00,1.17674,1.17704,1.17645,1.17698,1463
2026-05-01 15:15:00,1.17699,1.17708,1.17624,1.17641,1182
2026-05-01 15:30:00,1.17642,1.17681,1.17613,1.17641,1051
2026-05-01 15:45:00,1.17641,1.17685,1.17536,1.17550,1436
2026-05-01 16:00:00,1.17550,1.17572,1.17507,1.17535,1213
2026-05-01 16:15:00,1.17535,1.17564,1.17468,1.17482,1293
2026-05-01 16:30:00,1.17481,1.17491,1.17424,1.17452,1142
2026-05-01 16:45:00,1.17451,1.17454,1.17377,1.17382,926
2026-05-01 17:00:00,1.17381,1.17405,1.17354,1.17370,870
2026-05-01 17:15:00,1.17371,1.17393,1.17348,1.17368,884
2026-05-01 17:30:00,1.17368,1.17379,1.17292,1.17306,913
2026-05-01 17:45:00,1.17307,1.17373,1.17294,1.17331,962
2026-05-01 18:00:00,1.17332,1.17342,1.17237,1.17256,942
2026-05-01 18:15:00,1.17256,1.17279,1.17196,1.17240,916
2026-05-01 18:30:00,1.17241,1.17265,1.17196,1.17264,1094
2026-05-01 18:45:00,1.17262,1.17294,1.17243,1.17273,965
2026-05-01 19:00:00,1.17273,1.17284,1.17237,1.17245,732
2026-05-01 19:15:00,1.17245,1.17253,1.17227,1.17229,674
2026-05-01 19:30:00,1.17228,1.17233,1.17200,1.17206,749
2026-05-01 19:45:00,1.17205,1.17210,1.17178,1.17195,571
2026-05-01 20:00:00,1.17196,1.17225,1.17193,1.17205,447
2026-05-01 20:15:00,1.17205,1.17208,1.17168,1.17169,417
2026-05-01 20:30:00,1.17169,1.17189,1.17154,1.17187,322
2026-05-01 20:45:00,1.17191,1.17207,1.17167,1.17194,249
2026-05-03 21:00:00,1.17451,1.17469,1.17442,1.17468,49
2026-05-03 21:15:00,1.17468,1.17489,1.17406,1.17461,90
2026-05-03 21:30:00,1.17461,1.17475,1.17458,1.17464,29
2026-05-03 21:45:00,1.17459,1.17459,1.17334,1.17372,92
2026-05-03 22:00:00,1.17378,1.17422,1.17337,1.17341,590
2026-05-03 22:15:00,1.17339,1.17341,1.17268,1.17322,436
2026-05-03 22:30:00,1.17322,1.17363,1.17319,1.17356,283
2026-05-03 22:45:00,1.17356,1.17361,1.17305,1.17333,220
2026-05-03 23:00:00,1.17333,1.17335,1.17307,1.17322,314
2026-05-03 23:15:00,1.17324,1.17324,1.17305,1.17307,271
2026-05-03 23:30:00,1.17307,1.17323,1.17266,1.17266,345
2026-05-03 23:45:00,1.17266,1.17300,1.17251,1.17260,557
2026-05-04 00:00:00,1.17260,1.17289,1.17241,1.17256,859
2026-05-04 00:15:00,1.17256,1.17268,1.17216,1.17235,800
2026-05-04 00:30:00,1.17235,1.17262,1.17234,1.17248,682
2026-05-04 00:45:00,1.17246,1.17276,1.17237,1.17271,743
2026-05-04 01:00:00,1.17270,1.17273,1.17202,1.17228,879
2026-05-04 01:15:00,1.17226,1.17290,1.17215,1.17225,814
2026-05-04 01:30:00,1.17226,1.17259,1.17213,1.17256,738
2026-05-04 01:45:00,1.17256,1.17264,1.17224,1.17252,615
