time,open,high,low,close,spread
2025-08-11 13:30:00,1.34248,1.34258,1.34206,1.34249,11
2025-08-11 13:45:00,1.34246,1.34261,1.34195,1.34208,11
2025-08-11 14:00:00,1.34208,1.34214,1.34096,1.34119,11
2025-08-11 14:15:00,1.34119,1.34141,1.34084,1.34093,11
2025-08-11 14:30:00,1.34092,1.34109,1.34046,1.34049,11
2025-08-11 14:45:00,1.34050,1.34076,1.33984,1.34065,11
2025-08-11 15:00:00,1.34067,1.34099,1.34019,1.34041,11
2025-08-11 15:15:00,1.34035,1.34083,1.34016,1.34082,11
2025-08-11 15:30:00,1.34080,1.34147,1.34058,1.34132,11
2025-08-11 15:45:00,1.34133,1.34163,1.34115,1.34139,11
2025-08-11 16:00:00,1.34140,1.34218,1.34139,1.34194,11
2025-08-11 16:15:00,1.34195,1.34254,1.34184,1.34252,11
2025-08-11 16:30:00,1.34252,1.34253,1.34155,1.34175,11
2025-08-11 16:45:00,1.34176,1.34242,1.34163,1.34238,11
2025-08-11 17:00:00,1.34240,1.34243,1.34184,1.34195,11
2025-08-11 17:15:00,1.34195,1.34226,1.34166,1.34226,11
2025-08-11 17:30:00,1.34226,1.34266,1.34226,1.34251,11
2025-08-11 17:45:00,1.34251,1.34314,1.34244,1.34296,11
2025-08-11 18:00:00,1.34294,1.34319,1.34285,1.34310,11
2025-08-11 18:15:00,1.34310,1.34339,1.34270,1.34339,11
2025-08-11 18:30:00,1.34335,1.34349,1.34295,1.34296,11
2025-08-11 18:45:00,1.34296,1.34367,1.34292,1.34349,11
2025-08-11 19:00:00,1.34349,1.34351,1.34293,1.34300,11
2025-08-11 19:15:00,1.34300,1.34310,1.34260,1.34272,11
2025-08-11 19:30:00,1.34272,1.34283,1.34251,1.34269,11
2025-08-11 19:45:00,1.34270,1.34271,1.34229,1.34270,11
2025-08-11 20:00:00,1.34269,1.34309,1.34263,1.34307,11
2025-08-11 20:15:00,1.34307,1.34350,1.34301,1.34346,11
2025-08-11 20:30:00,1.34346,1.34350,1.34321,1.34347,11
2025-08-11 20:45:00,1.34347,1.34348,1.34316,1.34317,19
2025-08-11 21:00:00,1.34225,1.34313,1.34151,1.34292,67
2025-08-11 21:15:00,1.34290,1.34296,1.34255,1.34290,67
2025-08-11 21:30:00,1.34290,1.34290,1.34213,1.34232,85
2025-08-11 21:45:00,1.34232,1.34301,1.34227,1.34278,67
2025-08-11 22:00:00,1.34282,1.34329,1.34282,1.34302,11
2025-08-11 22:15:00,1.34303,1.34308,1.34293,1.34303,11
2025-08-11 22:30:00,1.34303,1.34320,1.34296,1.34304,11
2025-08-11 22:45:00,1.34304,1.34331,1.34300,1.34330,11
2025-08-11 23:00:00,1.34336,1.34344,1.34322,1.34337,11
2025-08-11 23:15:00,1.34337,1.34343,1.34325,1.34330,11
2025-08-11 23:30:00,1.34330,1.34338,1.34320,1.34329,11
2025-08-11 23:45:00,1.34329,1.34343,1.34324,1.34329,11
2025-08-12 00:00:00,1.34328,1.34364,1.34299,1.34311,11
2025-08-12 00:15:00,1.34311,1.34329,1.34274,1.34306,11
2025-08-12 00:30:00,1.34306,1.34337,1.34298,1.34319,11
2025-08-12 00:45:00,1.34319,1.34333,1.34295,1.34295,11
2025-08-12 01:00:00,1.34295,1.34344,1.34290,1.34326,11
2025-08-12 01:15:00,1.34325,1.34327,1.34275,1.34285,11
2025-08-12 01:30:00,1.34285,1.34380,1.34285,1.34371,11
2025-08-12 01:45:00,1.34370,1.34374,1.34304,1.34306,11
2025-08-12 02:00:00,1.34306,1.34334,1.34306,1.34307,11
2025-08-12 02:15:00,1.34308,1.34350,1.34296,1.34333,11
2025-08-12 02:30:00,1.34332,1.34362,1.34332,1.34344,11
2025-08-12 02:45:00,1.34344,1.34368,1.34331,1.34368,11
2025-08-12 03:00:00,1.34368,1.34387,1.34344,1.34369,11
2025-08-12 03:15:00,1.34369,1.34370,1.34343,1.34347,11
2025-08-12 03:30:00,1.34347,1.34353,1.34326,1.34345,11
2025-08-12 03:45:00,1.34346,1.34355,1.34301,1.34320,11
2025-08-12 04:00:00,1.34320,1.34320,1.34290,1.34291,11
2025-08-12 04:15:00,1.34291,1.34296,1.34272,1.34291,11
2025-08-12 04:30:00,1.34294,1.34338,1.34234,1.34331,11
2025-08-12 04:45:00,1.34331,1.34383,1.34328,1.34380,11
2025-08-12 05:00:00,1.34379,1.34400,1.34316,1.34359,11
2025-08-12 05:15:00,1.34359,1.34361,1.34280,1.34287,11
2025-08-12 05:30:00,1.34287,1.34308,1.34247,1.34255,11
2025-08-12 05:45:00,1.34256,1.34256,1.34198,1.34239,11
2025-08-12 06:00:00,1.34228,1.34460,1.34215,1.34385,11
2025-08-12 06:15:00,1.34385,1.34395,1.34308,1.34350,11
2025-08-12 06:30:00,1.34349,1.34411,1.34316,1.34396,11
2025-08-12 06:45:00,1.34393,1.34451,1.34325,1.34334,11
2025-08-12 07:00:00,1.34333,1.34473,1.34310,1.34444,11
2025-08-12 07:15:00,1.34443,1.34480,1.34403,1.34468,11
2025-08-12 07:30:00,1.34468,1.34521,1.34448,1.34516,11
2025-08-12 07:45:00,1.34516,1.34596,1.34515,1.34584,11
2025-08-12 08:00:00,1.34585,1.34596,1.34473,1.34526,11
2025-08-12 08:15:00,1.34524,1.34602,1.34521,1.34599,11
2025-08-12 08:30:00,1.34598,1.34620,1.34558,1.34593,11
2025-08-12 08:45:00,1.34593,1.34710,1.34574,1.34683,11
2025-08-12 09:00:00,1.34684,1.34721,1.34625,1.34636,11
2025-08-12 09:15:00,1.34635,1.34649,1.34553,1.34565,11
2025-08-12 09:30:00,1.34565,1.34610,1.34557,1.34561,11
2025-08-12 09:45:00,1.34560,1.34618,1.34520,1.34591,11
2025-08-12 10:00:00,1.34590,1.34599,1.34548,1.34599,11
2025-08-12 10:15:00,1.34598,1.34634,1.34558,1.34568,11
2025-08-12 10:30:00,1.34570,1.34626,1.34568,1.34597,11
2025-08-12 10:45:00,1.34596,1.34619,1.34551,1.34564,11
2025-08-12 11:00:00,1.34563,1.34588,1.34523,1.34546,11
2025-08-12 11:15:00,1.34546,1.34577,1.34493,1.34516,11
2025-08-12 11:30:00,1.34516,1.34516,1.34458,1.34494,11
2025-08-12 11:45:00,1.34493,1.34578,1.34480,1.34568,11
2025-08-12 12:00:00,1.34568,1.34643,1.34560,1.34619,11
2025-08-12 12:15:00,1.34618,1.34633,1.34508,1.34508,11
2025-08-12 12:30:00,1.34503,1.35093,1.34484,1.34992,11
2025-08-12 12:45:00,1.34994,1.35010,1.34776,1.34851,11
2025-08-12 13:00:00,1.34845,1.34904,1.34709,1.34805,11
2025-08-12 13:15:00,1.34805,1.34903,1.34669,1.34679,11
2025-08-12 13:30:00,1.34680,1.34986,1.34626,1.34983,11
2025-08-12 13:45:00,1.34976,1.34994,1.34813,1.34876,11
2025-08-12 14:00:00,1.34876,1.34970,1.34826,1.34827,11
2025-08-12 14:15:00,1.34828,1.34904,1.34783,1.34859,11
2025-08-12 14:30:00,1.34859,1.34940,1.34836,1.34935,11
2025-08-12 14:45:00,1.34936,1.34936,1.34806,1.34876,11
2025-08-12 15:00:00,1.34877,1.35010,1.34859,1.34972,11
2025-08-12 15:15:00,1.34973,1.35157,1.34916,1.35142,11
2025-08-12 15:30:00,1.35142,1.35233,1.35058,1.35209,11
2025-08-12 15:45:00,1.35215,1.35217,1.35044,1.35061,11
2025-08-12 16:00:00,1.35063,1.35077,1.35003,1.35007,11
2025-08-12 16:15:00,1.35008,1.35149,1.34992,1.35142,11
2025-08-12 16:30:00,1.35141,1.35207,1.35115,1.35137,11
2025-08-12 16:45:00,1.35137,1.35187,1.35115,1.35148,11
2025-08-12 17:00:00,1.35148,1.35152,1.35085,1.35119,11
2025-08-12 17:15:00,1.35119,1.35132,1.35072,1.35108,11
2025-08-12 17:30:00,1.35108,1.35126,1.35083,1.35108,11
2025-08-12 17:45:00,1.35108,1.35135,1.35063,1.35068,11
2025-08-12 18:00:00,1.35067,1.35109,1.35019,1.35059,11
2025-08-12 18:15:00,1.35061,1.35062,1.34935,1.34966,11
2025-08-12 18:30:00,1.34966,1.34972,1.34911,1.34941,11
2025-08-12 18:45:00,1.34941,1.34965,1.34926,1.34952,11
2025-08-12 19:00:00,1.34951,1.34965,1.34873,1.34895,11
2025-08-12 19:15:00,1.34895,1.34944,1.34878,1.34936,11
2025-08-12 19:30:00,1.34936,1.34948,1.34925,1.34935,11
2025-08-12 19:45:00,1.34935,1.34950,1.34917,1.34950,11
2025-08-12 20:00:00,1.34949,1.34962,1.34918,1.34958,11
2025-08-12 20:15:00,1.34958,1.34989,1.34941,1.34967,11
2025-08-12 20:30:00,1.34967,1.34970,1.34937,1.34953,11
2025-08-12 20:45:00,1.34953,1.34994,1.34942,1.34991,19
2025-08-12 21:00:00,1.34987,1.34987,1.34899,1.34971,68
2025-08-12 21:15:00,1.34971,1.34971,1.34939,1.34949,81
2025-08-12 21:30:00,1.34946,1.34968,1.34926,1.34931,67
2025-08-12 21:45:00,1.34931,1.34963,1.34914,1.34950,67
2025-08-12 22:00:00,1.34933,1.35016,1.34918,1.35003,11
2025-08-12 22:15:00,1.34983,1.35011,1.34983,1.35002,11
2025-08-12 22:30:00,1.35001,1.35010,1.34990,1.34999,11
2025-08-12 22:45:00,1.34999,1.35009,1.34988,1.34998,11
2025-08-12 23:00:00,1.34998,1.35027,1.34989,1.35019,11
2025-08-12 23:15:00,1.35021,1.35025,1.35011,1.35015,11
2025-08-12 23:30:00,1.35015,1.35052,1.34996,1.35047,11
2025-08-12 23:45:00,1.35047,1.35048,1.35025,1.35038,11
2025-08-13 00:00:00,1.35038,1.35057,1.34977,1.34980,11
2025-08-13 00:15:00,1.34980,1.34999,1.34968,1.34983,11
2025-08-13 00:30:00,1.34983,1.35006,1.34975,1.35003,11
2025-08-13 00:45:00,1.35003,1.35029,1.34995,1.35021,11
2025-08-13 01:00:00,1.35022,1.35078,1.35020,1.35064,11
2025-08-13 01:15:00,1.35064,1.35073,1.34983,1.34984,11
2025-08-13 01:30:00,1.34983,1.35019,1.34974,1.35011,11
2025-08-13 01:45:00,1.35011,1.35018,1.34972,1.34983,11
2025-08-13 02:00:00,1.34983,1.34993,1.34922,1.34935,11
2025-08-13 02:15:00,1.34935,1.35008,1.34935,1.34986,11
2025-08-13 02:30:00,1.34986,1.35044,1.34983,1.35021,11
2025-08-13 02:45:00,1.35022,1.35042,1.35006,1.35024,11
2025-08-13 03:00:00,1.35023,1.35045,1.35003,1.35039,11
2025-08-13 03:15:00,1.35040,1.35046,1.35011,1.35026,11
2025-08-13 03:30:00,1.35024,1.35055,1.35017,1.35053,11
2025-08-13 03:45:00,1.35053,1.35059,1.35022,1.35023,11
2025-08-13 04:00:00,1.35018,1.35034,1.35006,1.35031,11
2025-08-13 04:15:00,1.35031,1.35040,1.35020,1.35029,11
