timestamp,open,high,low,close,volume,spread
2025-08-11 13:30:00,147.88,147.936,147.857,147.877,1749,13
2025-08-11 13:45:00,147.877,147.927,147.827,147.88,1489,13
2025-08-11 14:00:00,147.88,148.036,147.868,147.968,1633,13
2025-08-11 14:15:00,147.967,148.008,147.946,148.008,1475,13
2025-08-11 14:30:00,148.006,148.033,147.962,147.98,1304,13
2025-08-11 14:45:00,147.981,148.066,147.978,148.041,1474,13
2025-08-11 15:00:00,148.042,148.084,147.99,148.044,1450,13
2025-08-11 15:15:00,148.053,148.107,147.959,147.969,1238,13
2025-08-11 15:30:00,147.972,148.005,147.94,147.958,1188,13
2025-08-11 15:45:00,147.958,148.019,147.937,147.992,1040,13
2025-08-11 16:00:00,147.991,148.008,147.931,147.947,999,13
2025-08-11 16:15:00,147.947,147.949,147.904,147.934,756,13
2025-08-11 16:30:00,147.937,148.01,147.932,148.008,910,13
2025-08-11 16:45:00,148.004,148.025,147.98,147.985,778,13
2025-08-11 17:00:00,147.979,148.049,147.968,148.046,810,13
2025-08-11 17:15:00,148.045,148.063,148.024,148.035,969,13
2025-08-11 17:30:00,148.035,148.053,147.982,147.988,1279,13
2025-08-11 17:45:00,147.987,148.016,147.961,147.989,848,13
2025-08-11 18:00:00,147.989,148.013,147.974,148.009,766,13
2025-08-11 18:15:00,148.01,148.037,148.001,148.003,1011,13
2025-08-11 18:30:00,148.002,148.094,147.995,148.074,881,13
2025-08-11 18:45:00,148.075,148.161,148.071,148.127,876,13
2025-08-11 19:00:00,148.126,148.154,148.113,148.14,581,13
2025-08-11 19:15:00,148.14,148.188,148.126,148.169,676,13
2025-08-11 19:30:00,148.171,148.198,148.163,148.186,610,13
2025-08-11 19:45:00,148.186,148.233,148.183,148.223,731,13
2025-08-11 20:00:00,148.224,148.247,148.174,148.175,500,13
2025-08-11 20:15:00,148.175,148.186,148.102,148.11,527,13
2025-08-11 20:30:00,148.11,148.122,148.087,148.093,537,13
2025-08-11 20:45:00,148.093,148.136,148.087,148.134,403,23
