time,open,high,low,close,spread
2022-10-02 21:00:00,0.97747,0.98072,0.97746,0.97918,57
2022-10-02 21:15:00,0.97927,0.98001,0.97901,0.97971,12
2022-10-02 21:30:00,0.97971,0.97988,0.97944,0.97955,14
2022-10-02 21:45:00,0.97955,0.97961,0.97935,0.97948,15
2022-10-02 22:00:00,0.97944,0.98042,0.97915,0.97973,1
2022-10-02 22:15:00,0.97968,0.98064,0.97934,0.98008,1
2022-10-02 22:30:00,0.98011,0.98085,0.97991,0.98061,3
2022-10-02 22:45:00,0.98063,0.98068,0.97989,0.98006,3
2022-10-02 23:00:00,0.98006,0.98006,0.97929,0.97990,2
2022-10-02 23:15:00,0.97990,0.98011,0.97954,0.97975,2
2022-10-02 23:30:00,0.97975,0.98017,0.97944,0.98003,2
2022-10-02 23:45:00,0.98003,0.98027,0.97894,0.97932,2
2022-10-03 00:00:00,0.97932,0.97944,0.97851,0.97909,2
2022-10-03 00:15:00,0.97912,0.97983,0.97884,0.97959,2
2022-10-03 00:30:00,0.97959,0.98014,0.97941,0.97995,2
2022-10-03 00:45:00,0.97995,0.98037,0.97968,0.98012,2
2022-10-03 01:00:00,0.98012,0.98165,0.98012,0.98159,2
2022-10-03 01:15:00,0.98159,0.98161,0.98079,0.98130,2
2022-10-03 01:30:00,0.98126,0.98170,0.98105,0.98145,2
2022-10-03 01:45:00,0.98145,0.98284,0.98134,0.98256,0
2022-10-03 02:00:00,0.98250,0.98251,0.98205,0.98243,2
2022-10-03 02:15:00,0.98243,0.98252,0.98161,0.98170,2
2022-10-03 02:30:00,0.98172,0.98180,0.98156,0.98173,2
2022-10-03 02:45:00,0.98173,0.98196,0.98122,0.98122,2
2022-10-03 03:00:00,0.98122,0.98131,0.98066,0.98113,2
2022-10-03 03:15:00,0.98113,0.98146,0.98108,0.98115,2
2022-10-03 03:30:00,0.98114,0.98152,0.98101,0.98122,2
2022-10-03 03:45:00,0.98122,0.98125,0.98039,0.98055,2
2022-10-03 04:00:00,0.98057,0.98057,0.97916,0.97963,1
2022-10-03 04:15:00,0.97963,0.97996,0.97917,0.97960,0
2022-10-03 04:30:00,0.97959,0.97974,0.97872,0.97905,1
2022-10-03 04:45:00,0.97905,0.97909,0.97851,0.97854,1
2022-10-03 05:00:00,0.97856,0.97906,0.97843,0.97899,1
2022-10-03 05:15:00,0.97898,0.97944,0.97882,0.97940,0
2022-10-03 05:30:00,0.97940,0.98120,0.97937,0.98103,1
2022-10-03 05:45:00,0.98103,0.98344,0.98079,0.98256,1
2022-10-03 06:00:00,0.98256,0.98289,0.98200,0.98242,1
2022-10-03 06:15:00,0.98234,0.98242,0.98078,0.98104,1
2022-10-03 06:30:00,0.98100,0.98167,0.97952,0.97963,1
2022-10-03 06:45:00,0.97963,0.98006,0.97916,0.97976,1
2022-10-03 07:00:00,0.97979,0.98027,0.97870,0.97964,0
2022-10-03 07:15:00,0.97964,0.98188,0.97947,0.98102,0
2022-10-03 07:30:00,0.98102,0.98177,0.98043,0.98081,1
