time,open,high,low,close,spread
2022-10-02 21:00:00,144.596,144.699,144.591,144.665,46
2022-10-02 21:15:00,144.699,144.699,144.648,144.660,34
2022-10-02 21:30:00,144.673,144.693,144.656,144.679,30
2022-10-02 21:45:00,144.672,144.706,144.672,144.685,48
2022-10-02 22:00:00,144.678,144.729,144.627,144.669,3
2022-10-02 22:15:00,144.668,144.686,144.646,144.669,3
2022-10-02 22:30:00,144.669,144.750,144.668,144.732,3
2022-10-02 22:45:00,144.729,144.763,144.725,144.757,12
2022-10-02 23:00:00,144.758,144.881,144.737,144.798,2
2022-10-02 23:15:00,144.798,144.862,144.798,144.820,2
2022-10-02 23:30:00,144.820,144.885,144.811,144.836,9
2022-10-02 23:45:00,144.836,144.855,144.791,144.802,9
2022-10-03 00:00:00,144.805,144.859,144.767,144.831,9
2022-10-03 00:15:00,144.832,144.840,144.494,144.715,9
2022-10-03 00:30:00,144.715,144.751,144.655,144.704,9
2022-10-03 00:45:00,144.705,144.845,144.689,144.776,2
2022-10-03 01:00:00,144.776,144.844,144.748,144.768,2
2022-10-03 01:15:00,144.767,144.788,144.737,144.752,2
2022-10-03 01:30:00,144.752,144.802,144.734,144.756,2
2022-10-03 01:45:00,144.757,144.780,144.729,144.761,2
2022-10-03 02:00:00,144.762,144.768,144.738,144.759,2
2022-10-03 02:15:00,144.758,144.767,144.740,144.752,2
2022-10-03 02:30:00,144.752,144.764,144.740,144.749,2
2022-10-03 02:45:00,144.751,144.809,144.738,144.800,2
2022-10-03 03:00:00,144.801,144.821,144.785,144.808,2
2022-10-03 03:15:00,144.806,144.816,144.782,144.798,2
2022-10-03 03:30:00,144.809,144.829,144.792,144.828,2
2022-10-03 03:45:00,144.828,144.863,144.818,144.843,5
2022-10-03 04:00:00,144.843,145.316,144.842,145.121,0
2022-10-03 04:15:00,145.121,145.186,144.639,144.937,8
2022-10-03 04:30:00,144.937,144.969,144.901,144.932,7
2022-10-03 04:45:00,144.932,144.943,144.898,144.941,8
2022-10-03 05:00:00,144.941,144.950,144.903,144.921,8
2022-10-03 05:15:00,144.923,144.929,144.868,144.890,8
2022-10-03 05:30:00,144.889,144.909,144.757,144.798,8
2022-10-03 05:45:00,144.793,144.803,144.739,144.767,8
2022-10-03 06:00:00,144.771,144.868,144.755,144.844,0
2022-10-03 06:15:00,144.845,144.932,144.840,144.917,0
2022-10-03 06:30:00,144.924,145.102,144.906,145.075,0
2022-10-03 06:45:00,145.075,145.131,145.000,145.002,0
2022-10-03 07:00:00,145.004,145.052,144.930,144.945,0
2022-10-03 07:15:00,144.952,144.962,144.866,144.937,0
2022-10-03 07:30:00,144.937,145.002,144.902,144.986,0
2022-10-03 07:45:00,144.986,145.029,144.917,145.025,0
2022-10-03 08:00:00,145.025,145.065,144.993,145.019,0
2022-10-03 08:15:00,145.019,145.022,144.967,144.980,0
2022-10-03 08:30:00,144.979,145.041,144.945,145.031,0
2022-10-03 08:45:00,145.031,145.087,145.024,145.046,0
2022-10-03 09:00:00,145.048,145.103,145.034,145.093,0
2022-10-03 09:15:00,145.091,145.102,145.046,145.077,0
