timestamp,open,high,low,close,volume,spread
2022-10-02 21:00:00,1.11595,1.11784,1.11570,1.11778,38,19
2022-10-02 21:15:00,1.11728,1.11868,1.11676,1.11864,104,19
2022-10-02 21:30:00,1.11864,1.11871,1.11756,1.11819,97,17
2022-10-02 21:45:00,1.11776,1.11909,1.11774,1.11907,122,17
2022-10-02 22:00:00,1.11879,1.11897,1.11507,1.11815,1010,0
2022-10-02 22:15:00,1.11801,1.11935,1.11705,1.11724,1577,17
2022-10-02 22:30:00,1.11725,1.11751,1.11674,1.11714,635,16
2022-10-02 22:45:00,1.11714,1.11738,1.11522,1.11556,524,17
2022-10-02 23:00:00,1.11556,1.11556,1.11275,1.11391,857,12
2022-10-02 23:15:00,1.11392,1.11462,1.11345,1.11363,507,12
2022-10-02 23:30:00,1.11363,1.11484,1.11363,1.11459,404,12
2022-10-02 23:45:00,1.11456,1.11553,1.11296,1.11344,1198,12
2022-10-03 00:00:00,1.11348,1.11356,1.11103,1.11224,1577,12
2022-10-03 00:15:00,1.11224,1.11306,1.11104,1.11214,1066,12
2022-10-03 00:30:00,1.11213,1.11381,1.11199,1.11338,1213,12
2022-10-03 00:45:00,1.11338,1.11342,1.11212,1.11274,1036,12
2022-10-03 01:00:00,1.11275,1.11535,1.11274,1.11514,1661,12
2022-10-03 01:15:00,1.11514,1.11522,1.11376,1.11443,1487,12
2022-10-03 01:30:00,1.11440,1.11530,1.11398,1.11463,1177,12
2022-10-03 01:45:00,1.11463,1.11631,1.11448,1.11553,963,12
2022-10-03 02:00:00,1.11553,1.11553,1.11445,1.11484,822,12
2022-10-03 02:15:00,1.11484,1.11507,1.11282,1.11286,1193,12
2022-10-03 02:30:00,1.11286,1.11366,1.11265,1.11336,758,12
2022-10-03 02:45:00,1.11341,1.11408,1.11263,1.11278,763,12
2022-10-03 03:00:00,1.11278,1.11292,1.11206,1.11287,617,12
2022-10-03 03:15:00,1.11287,1.11316,1.11226,1.11253,536,11
2022-10-03 03:30:00,1.11251,1.11299,1.11219,1.11255,496,12
2022-10-03 03:45:00,1.11255,1.11269,1.11157,1.11179,526,5
2022-10-03 04:00:00,1.11179,1.11184,1.10904,1.10977,2188,1
2022-10-03 04:15:00,1.10978,1.11061,1.10917,1.10969,3199,1
2022-10-03 04:30:00,1.10970,1.10994,1.10859,1.10979,1882,1
2022-10-03 04:45:00,1.10981,1.10989,1.10936,1.10936,913,1
2022-10-03 05:00:00,1.10936,1.11051,1.10912,1.11039,1757,1
2022-10-03 05:15:00,1.11043,1.11290,1.11038,1.11270,1604,1
2022-10-03 05:30:00,1.11272,1.11884,1.11265,1.11862,2794,1
2022-10-03 05:45:00,1.11861,1.12814,1.11751,1.12497,5098,1
2022-10-03 06:00:00,1.12496,1.12700,1.12271,1.12645,4852,1
