timestamp,open,high,low,close,volume,spread
2025-08-11 13:30:00,1.34248,1.34258,1.34206,1.34249,1165,11
2025-08-11 13:45:00,1.34246,1.34261,1.34195,1.34208,1086,11
2025-08-11 14:00:00,1.34208,1.34214,1.34096,1.34119,1159,11
2025-08-11 14:15:00,1.34119,1.34141,1.34084,1.34093,958,11
2025-08-11 14:30:00,1.34092,1.34109,1.34046,1.34049,1230,11
2025-08-11 14:45:00,1.34050,1.34076,1.33984,1.34065,1061,11
2025-08-11 15:00:00,1.34067,1.34099,1.34019,1.34041,889,11
2025-08-11 15:15:00,1.34035,1.34083,1.34016,1.34082,864,11
2025-08-11 15:30:00,1.34080,1.34147,1.34058,1.34132,880,11
2025-08-11 15:45:00,1.34133,1.34163,1.34115,1.34139,766,11
2025-08-11 16:00:00,1.34140,1.34218,1.34139,1.34194,911,11
2025-08-11 16:15:00,1.34195,1.34254,1.34184,1.34252,782,11
2025-08-11 16:30:00,1.34252,1.34253,1.34155,1.34175,694,11
2025-08-11 16:45:00,1.34176,1.34242,1.34163,1.34238,762,11
2025-08-11 17:00:00,1.34240,1.34243,1.34184,1.34195,618,11
2025-08-11 17:15:00,1.34195,1.34226,1.34166,1.34226,627,11
2025-08-11 17:30:00,1.34226,1.34266,1.34226,1.34251,616,11
2025-08-11 17:45:00,1.34251,1.34314,1.34244,1.34296,660,11
2025-08-11 18:00:00,1.34294,1.34319,1.34285,1.34310,684,11
2025-08-11 18:15:00,1.34310,1.34339,1.34270,1.34339,703,11
2025-08-11 18:30:00,1.34335,1.34349,1.34295,1.34296,698,11
2025-08-11 18:45:00,1.34296,1.34367,1.34292,1.34349,701,11
2025-08-11 19:00:00,1.34349,1.34351,1.34293,1.34300,605,11
2025-08-11 19:15:00,1.34300,1.34310,1.34260,1.34272,546,11
2025-08-11 19:30:00,1.34272,1.34283,1.34251,1.34269,559,11
2025-08-11 19:45:00,1.34270,1.34271,1.34229,1.34270,687,11
2025-08-11 20:00:00,1.34269,1.34309,1.34263,1.34307,364,11
2025-08-11 20:15:00,1.34307,1.34350,1.34301,1.34346,483,11
2025-08-11 20:30:00,1.34346,1.34350,1.34321,1.34347,370,11
2025-08-11 20:45:00,1.34347,1.34348,1.34316,1.34317,299,19
2025-08-11 21:00:00,1.34225,1.34313,1.34151,1.34292,52,67
2025-08-11 21:15:00,1.34290,1.34296,1.34255,1.34290,39,67
2025-08-11 21:30:00,1.34290,1.34290,1.34213,1.34232,138,85
2025-08-11 21:45:00,1.34232,1.34301,1.34227,1.34278,626,67
2025-08-11 22:00:00,1.34282,1.34329,1.34282,1.34302,321,11
2025-08-11 22:15:00,1.34303,1.34308,1.34293,1.34303,259,11
2025-08-11 22:30:00,1.34303,1.34320,1.34296,1.34304,189,11
2025-08-11 22:45:00,1.34304,1.34331,1.34300,1.34330,128,11
2025-08-11 23:00:00,1.34336,1.34344,1.34322,1.34337,206,11
2025-08-11 23:15:00,1.34337,1.34343,1.34325,1.34330,153,11
2025-08-11 23:30:00,1.34330,1.34338,1.34320,1.34329,225,11
2025-08-11 23:45:00,1.34329,1.34343,1.34324,1.34329,194,11
2025-08-12 00:00:00,1.34328,1.34364,1.34299,1.34311,667,11
2025-08-12 00:15:00,1.34311,1.34329,1.34274,1.34306,590,11
2025-08-12 00:30:00,1.34306,1.34337,1.34298,1.34319,422,11
2025-08-12 00:45:00,1.34319,1.34333,1.34295,1.34295,577,11
2025-08-12 01:00:00,1.34295,1.34344,1.34290,1.34326,690,11
2025-08-12 01:15:00,1.34325,1.34327,1.34275,1.34285,590,11
2025-08-12 01:30:00,1.34285,1.34380,1.34285,1.34371,636,11
2025-08-12 01:45:00,1.34370,1.34374,1.34304,1.34306,506,11
2025-08-12 02:00:00,1.34306,1.34334,1.34306,1.34307,502,11
2025-08-12 02:15:00,1.34308,1.34350,1.34296,1.34333,539,11
2025-08-12 02:30:00,1.34332,1.34362,1.34332,1.34344,373,11
2025-08-12 02:45:00,1.34344,1.34368,1.34331,1.34368,426,11
2025-08-12 03:00:00,1.34368,1.34387,1.34344,1.34369,579,11
2025-08-12 03:15:00,1.34369,1.34370,1.34343,1.34347,377,11
2025-08-12 03:30:00,1.34347,1.34353,1.34326,1.34345,495,11
2025-08-12 03:45:00,1.34346,1.34355,1.34301,1.34320,523,11
2025-08-12 04:00:00,1.34320,1.34320,1.34290,1.34291,453,11
2025-08-12 04:15:00,1.34291,1.34296,1.34272,1.34291,592,11
2025-08-12 04:30:00,1.34294,1.34338,1.34234,1.34331,782,11
2025-08-12 04:45:00,1.34331,1.34383,1.34328,1.34380,470,11
2025-08-12 05:00:00,1.34379,1.34400,1.34316,1.34359,911,11
2025-08-12 05:15:00,1.34359,1.34361,1.34280,1.34287,929,11
2025-08-12 05:30:00,1.34287,1.34308,1.34247,1.34255,741,11
2025-08-12 05:45:00,1.34256,1.34256,1.34198,1.34239,837,11
2025-08-12 06:00:00,1.34228,1.34460,1.34215,1.34385,1270,11
2025-08-12 06:15:00,1.34385,1.34395,1.34308,1.34350,1092,11
2025-08-12 06:30:00,1.34349,1.34411,1.34316,1.34396,1250,11
2025-08-12 06:45:00,1.34393,1.34451,1.34325,1.34334,1130,11
2025-08-12 07:00:00,1.34333,1.34473,1.34310,1.34444,1264,11
2025-08-12 07:15:00,1.34443,1.34480,1.34403,1.34468,1167,11
2025-08-12 07:30:00,1.34468,1.34521,1.34448,1.34516,1248,11
2025-08-12 07:45:00,1.34516,1.34596,1.34515,1.34584,960,11
2025-08-12 08:00:00,1.34585,1.34596,1.34473,1.34526,1049,11
2025-08-12 08:15:00,1.34524,1.34602,1.34521,1.34599,1006,11
2025-08-12 08:30:00,1.34598,1.34620,1.34558,1.34593,1032,11
2025-08-12 08:45:00,1.34593,1.34710,1.34574,1.34683,1013,11
2025-08-12 09:00:00,1.34684,1.34721,1.34625,1.34636,937,11
2025-08-12 09:15:00,1.34635,1.34649,1.34553,1.34565,884,11
2025-08-12 09:30:00,1.34565,1.34610,1.34557,1.34561,875,11
2025-08-12 09:45:00,1.34560,1.34618,1.34520,1.34591,1035,11
2025-08-12 10:00:00,1.34590,1.34599,1.34548,1.34599,920,11
2025-08-12 10:15:00,1.34598,1.34634,1.34558,1.34568,696,11
2025-08-12 10:30:00,1.34570,1.34626,1.34568,1.34597,757,11
2025-08-12 10:45:00,1.34596,1.34619,1.34551,1.34564,818,11
2025-08-12 11:00:00,1.34563,1.34588,1.34523,1.34546,714,11
2025-08-12 11:15:00,1.34546,1.34577,1.34493,1.34516,698,11
2025-08-12 11:30:00,1.34516,1.34516,1.34458,1.34494,745,11
2025-08-12 11:45:00,1.34493,1.34578,1.34480,1.34568,828,11
2025-08-12 12:00:00,1.34568,1.34643,1.34560,1.34619,1000,11
2025-08-12 12:15:00,1.34618,1.34633,1.34508,1.34508,818,11
2025-08-12 12:30:00,1.34503,1.35093,1.34484,1.34992,2960,11
2025-08-12 12:45:00,1.34994,1.35010,1.34776,1.34851,2128,11
2025-08-12 13:00:00,1.34845,1.34904,1.34709,1.34805,2040,11
2025-08-12 13:15:00,1.34805,1.34903,1.34669,1.34679,1622,11
2025-08-12 13:30:00,1.34680,1.34986,1.34626,1.34983,1805,11
2025-08-12 13:45:00,1.34976,1.34994,1.34813,1.34876,2332,11
2025-08-12 14:00:00,1.34876,1.34970,1.34826,1.34827,1757,11
2025-08-12 14:15:00,1.34828,1.34904,1.34783,1.34859,1463,11
2025-08-12 14:30:00,1.34859,1.34940,1.34836,1.34935,1320,11
2025-08-12 14:45:00,1.34936,1.34936,1.34806,1.34876,1259,11
2025-08-12 15:00:00,1.34877,1.35010,1.34859,1.34972,1163,11
2025-08-12 15:15:00,1.34973,1.35157,1.34916,1.35142,1258,11
2025-08-12 15:30:00,1.35142,1.35233,1.35058,1.35209,1481,11
2025-08-12 15:45:00,1.35215,1.35217,1.35044,1.35061,1333,11
2025-08-12 16:00:00,1.35063,1.35077,1.35003,1.35007,1197,11
2025-08-12 16:15:00,1.35008,1.35149,1.34992,1.35142,1122,11
2025-08-12 16:30:00,1.35141,1.35207,1.35115,1.35137,1008,11
2025-08-12 16:45:00,1.35137,1.35187,1.35115,1.35148,1031,11
2025-08-12 17:00:00,1.35148,1.35152,1.35085,1.35119,1163,11
2025-08-12 17:15:00,1.35119,1.35132,1.35072,1.35108,876,11
